State,Name of City
Maharashtra,Mumbai
Delhi,Delhi
Karnataka,Bengaluru
Gujarat,Ahmedabad
Telangana,Hyderabad
Tamil Nadu,Chennai
West Bengal,Kolkata
Maharashtra,Pune
Rajasthan,Jaipur
Gujarat,Surat
Uttar Pradesh,Lucknow
Uttar Pradesh,Kanpur
Maharashtra,Nagpur
Bihar,Patna
Madhya Pradesh,Indore
Maharashtra,Thane
Madhya Pradesh,Bhopal
Andhra Pradesh,Visakhapatnam
Gujarat,Vadodara
Uttar Pradesh,Firozabad
Punjab,Ludhiana
Gujarat,Rajkot
Uttar Pradesh,Agra
West Bengal,Siliguri
Maharashtra,Nashik
Haryana,Faridabad
Punjab,Patiala
Uttar Pradesh,Meerut
Maharashtra,Kalyan-Dombivali
Maharashtra,Vasai-Virar
Uttar Pradesh,Varanasi
Jammu and Kashmir,Srinagar
Jharkhand,Dhanbad
Rajasthan,Jodhpur
Punjab,Amritsar
Chhattisgarh,Raipur
Uttar Pradesh,Allahabad
Tamil Nadu,Coimbatore
Madhya Pradesh,Jabalpur
Madhya Pradesh,Gwalior
Andhra Pradesh,Vijayawada
Tamil Nadu,Madurai
Assam,Guwahati
Chandigarh,Chandigarh
Karnataka,Hubli-Dharwad
Uttar Pradesh,Amroha
Uttar Pradesh,Moradabad
Haryana,Gurgaon
Uttar Pradesh,Aligarh
Maharashtra,Solapur
Jharkhand,Ranchi
Punjab,Jalandhar
Tamil Nadu,Tiruchirappalli
Odisha,Bhubaneswar
Tamil Nadu,Salem
Telangana,Warangal
Maharashtra,Mira-Bhayandar
Kerala,Thiruvananthapuram
Maharashtra,Bhiwandi
Uttar Pradesh,Saharanpur
Andhra Pradesh,Guntur
Maharashtra,Amravati
Rajasthan,Bikaner
Uttar Pradesh,Noida
Jharkhand,Jamshedpur
Chhattisgarh,Bhilai Nagar
Odisha,Cuttack
Kerala,Kochi
Rajasthan,Udaipur
Gujarat,Bhavnagar
Uttarakhand,Dehradun
West Bengal,Asansol
Maharashtra,Nanded-Waghala
Rajasthan,Ajmer
Gujarat,Jamnagar
Madhya Pradesh,Ujjain
Maharashtra,Sangli
Uttar Pradesh,Loni
Uttar Pradesh,Jhansi
Puducherry,Pondicherry
Andhra Pradesh,Nellore
Jammu and Kashmir,Jammu
Karnataka,Belagavi
Odisha,Raurkela
Karnataka,Mangaluru
Tamil Nadu,Tirunelveli
Maharashtra,Malegaon
Bihar,Gaya
Tamil Nadu,Tiruppur
Karnataka,Davanagere
Kerala,Kozhikode
Maharashtra,Akola
Andhra Pradesh,Kurnool
Jharkhand,Bokaro Steel City
Andhra Pradesh,Rajahmundry
Karnataka,Ballari
Tripura,Agartala
Bihar,Bhagalpur
Maharashtra,Latur
Maharashtra,Dhule
Chhattisgarh,Korba
Rajasthan,Bhilwara
Odisha,Brahmapur
Karnatka,Mysore
Bihar,Muzaffarpur
Maharashtra,Ahmednagar
Kerala,Kollam
West Bengal,Raghunathganj
Chhattisgarh,Bilaspur
Uttar Pradesh,Shahjahanpur
Kerala,Thrissur
Rajasthan,Alwar
Andhra Pradesh,Kakinada
Telangana,Nizamabad
Madhya Pradesh,Sagar
Karnataka,Tumkur
Haryana,Hisar
Haryana,Rohtak
Haryana,Panipat
Bihar,Darbhanga
West Bengal,Kharagpur
Mizoram,Aizawl
Maharashtra,Ichalkaranji
Andhra Pradesh,Tirupati
Haryana,Karnal
Punjab,Bathinda
Uttar Pradesh,Rampur
Karnataka,Shivamogga
Madhya Pradesh,Ratlam
Uttar Pradesh,Modinagar
Chhattisgarh,Durg
Meghalaya,Shillong
Manipur,Imphal
Uttar Pradesh,Hapur
Tamil Nadu,Ranipet
Andhra Pradesh,Anantapur
Bihar,Arrah
Telangana,Karimnagar
Maharashtra,Parbhani
Uttar Pradesh,Etawah
Rajasthan,Bharatpur
Bihar,Begusarai
Delhi,New Delhi
Bihar,Chhapra
Andhra Pradesh,Kadapa
Telangana,Ramagundam
Rajasthan,Pali
Madhya Pradesh,Satna
Andhra Pradesh,Vizianagaram
Bihar,Katihar
Uttarakhand,Hardwar
Haryana,Sonipat
Tamil Nadu,Nagercoil
Tamil Nadu,Thanjavur
Madhya Pradesh,Murwara (Katni)
West Bengal,Naihati
Uttar Pradesh,Sambhal
Gujarat,Nadiad
Haryana,Yamunanagar
West Bengal,English Bazar
Andhra Pradesh,Eluru
Bihar,Munger
Haryana,Panchkula
Karnataka,Raayachuru
Maharashtra,Panvel
Jharkhand,Deoghar
Andhra Pradesh,Ongole
Andhra Pradesh,Nandyal
Madhya Pradesh,Morena
Haryana,Bhiwani
Gujarat,Porbandar
Kerala,Palakkad
Gujarat,Anand
Bihar,Purnia
West Bengal,Baharampur
Rajasthan,Barmer
Gujarat,Morvi
Uttar Pradesh,Orai
Uttar Pradesh,Bahraich
Rajasthan,Sikar
Tamil Nadu,Vellore
Madhya Pradesh,Singrauli
Telangana,Khammam
Gujarat,Mahesana
Assam,Silchar
Odisha,Sambalpur
Madhya Pradesh,Rewa
Uttar Pradesh,Unnao
West Bengal,Hugli-Chinsurah
West Bengal,Raiganj
Jharkhand,Phusro
Jharkhand,Adityapur
Kerala,Alappuzha
Haryana,Bahadurgarh
Andhra Pradesh,Machilipatnam
Uttar Pradesh,Rae Bareli
West Bengal,Jalpaiguri
Gujarat,Bharuch
Punjab,Pathankot
